DateTime,FedBalanceSheetChange,Start,End,Open,Close,Change,High,Low,HighChangePercent,LowChangePercent,Influence1,Influence2,Influence3
05/07/2003 00:00:00,-12828,05/09/2003 00:00:00,05/15/2003 00:00:00,921.85,946.67,24.82,948.23,921.85,0.0286163692574713890546184303,0,-1,-1,0
05/14/2003 00:00:00,6905,05/16/2003 00:00:00,05/22/2003 00:00:00,946.5,931.87,-14.63,948.65,912.05,0.0022715266772319070258848389,-0.0363972530375066032752245114,-1,-1,-1
05/21/2003 00:00:00,-5672,05/23/2003 00:00:00,05/29/2003 00:00:00,931.68,949.64,17.96,962.08,927.33,0.0326292289198007899708054268,-0.0046689850592478104070066976,-1,-1,-1
05/28/2003 00:00:00,10197,05/30/2003 00:00:00,06/05/2003 00:00:00,950.7,990.14,39.44,990.14,950.7,0.0414852214157988850320816241,0,1,1,1
06/04/2003 00:00:00,-13229,06/06/2003 00:00:00,06/12/2003 00:00:00,990.14,998.51,8.37,1007.69,972.59,0.0177247661946795402670329448,-0.0177247661946795402670329448,1,0,0
06/11/2003 00:00:00,11569,06/13/2003 00:00:00,06/19/2003 00:00:00,999.02,994.69,-4.33,1015.33,984.27,0.0163259994794899001021000581,-0.0147644691797962002762707453,1,0,0
06/18/2003 00:00:00,-7310,06/20/2003 00:00:00,06/26/2003 00:00:00,996.13,985.81,-10.32,1002.09,973.8,0.0059831548091112605784385572,-0.022416752833465511529619628,1,1,0
06/25/2003 00:00:00,8092,06/27/2003 00:00:00,07/03/2003 00:00:00,985.82,985.7,-0.12,995,962.1,0.0093120447951958775435677913,-0.0240611876407457750907873648,-1,-1,0
07/02/2003 00:00:00,-3892,07/07/2003 00:00:00,07/10/2003 00:00:00,985.7,988.67,2.97,1010.43,983.63,0.0250887694024551080450441311,-0.0021000304352236988941868723,-1,-1,0
07/09/2003 00:00:00,4304,07/11/2003 00:00:00,07/17/2003 00:00:00,989.53,981.73,-7.80,1015.41,978.6,0.026153830606449526542904207,-0.0110456479338675937061028973,1,1,0
07/16/2003 00:00:00,-6665,07/18/2003 00:00:00,07/24/2003 00:00:00,981.73,981.6,-0.13,998.89,975.63,0.0174793476821529341061187903,-0.0062135210292035488372566795,-1,0,0
07/23/2003 00:00:00,7900,07/25/2003 00:00:00,07/31/2003 00:00:00,981.81,990.31,8.50,1004.59,977.42,0.0232020452022285370896609324,-0.004471333557409274706918854,1,1,0
07/30/2003 00:00:00,-5370,08/01/2003 00:00:00,08/07/2003 00:00:00,989.73,974.12,-15.61,989.9,960.84,0.0001717640164489305164034636,-0.0291897790306447212876238974,1,1,0
08/06/2003 00:00:00,-6277,08/08/2003 00:00:00,08/14/2003 00:00:00,974.12,990.51,16.39,992.5,973.83,0.0188683119122900669322054778,-0.0002977045949164373999096621,-1,0,0
08/13/2003 00:00:00,1368,08/15/2003 00:00:00,08/21/2003 00:00:00,990.19,1003.27,13.08,1009.53,986.44,0.0195316050454963188882941658,-0.0037871519607348084711015058,1,0,0
08/20/2003 00:00:00,15439,08/22/2003 00:00:00,08/28/2003 00:00:00,1005.43,1002.84,-2.59,1011.01,983.57,0.0055498642371920471837920094,-0.0217419412589638264225256855,-1,-1,0
08/27/2003 00:00:00,-10188,08/29/2003 00:00:00,09/04/2003 00:00:00,1002.2,1027.97,25.77,1029.34,999.52,0.0270804230692476551586509679,-0.0026741169427260027938535223,-1,-1,0
09/03/2003 00:00:00,9824,09/05/2003 00:00:00,09/11/2003 00:00:00,1027.11,1016.42,-10.69,1032.41,1009.74,0.0051601094332642073390386619,-0.0169115284633583549960568975,-1,0,0
09/10/2003 00:00:00,-13227,09/12/2003 00:00:00,09/18/2003 00:00:00,1014.55,1039.58,25.03,1040.16,1007.71,0.0252427184466019417475728155,-0.0067419052782021585924794244,-1,-1,0
09/17/2003 00:00:00,6705,09/19/2003 00:00:00,09/25/2003 00:00:00,1039.58,1003.26,-36.32,1040.29,1003.26,0.0006829681217414725177475519,-0.0349371861713384251332268801,-1,-1,-1
09/24/2003 00:00:00,-2746,09/26/2003 00:00:00,10/02/2003 00:00:00,1003.45,1020.24,16.79,1021.87,990.36,0.0183566694902586078030793762,-0.0130449947680502267178235089,1,0,0
10/01/2003 00:00:00,11962,10/03/2003 00:00:00,10/09/2003 00:00:00,1024.93,1038.73,13.80,1048.28,1024.93,0.0227820436517615837179124428,0,1,1,0
10/08/2003 00:00:00,-16047,10/10/2003 00:00:00,10/16/2003 00:00:00,1038.83,1050.07,11.24,1053.79,1035.74,0.0144008163029562103520306499,-0.0029745001588325327531934965,-1,0,0
10/15/2003 00:00:00,17121,10/17/2003 00:00:00,10/23/2003 00:00:00,1050.07,1033.77,-16.30,1051.9,1025.87,0.0017427409601264677592922377,-0.023046082642109573647471121,-1,-1,0
10/22/2003 00:00:00,-10651,10/24/2003 00:00:00,10/30/2003 00:00:00,1030.79,1046.94,16.15,1052.82,1018.32,0.0213719574307084857245413712,-0.0120975174380814714927385791,1,-1,0
10/29/2003 00:00:00,3694,10/31/2003 00:00:00,11/06/2003 00:00:00,1046.94,1058.05,11.11,1061.44,1044.88,0.0138498863354155921065199534,-0.0019676390242038703268573175,1,0,0
11/05/2003 00:00:00,-3156,11/07/2003 00:00:00,11/13/2003 00:00:00,1059.22,1058.41,-0.81,1062.39,1043.46,0.0029927682634391344574309397,-0.0148788731330601763561866279,1,0,0
11/12/2003 00:00:00,1488,11/14/2003 00:00:00,11/20/2003 00:00:00,1058.41,1033.65,-24.76,1063.65,1033.42,0.0049508224601052522179495659,-0.0236108880301584452149922998,-1,-1,0
11/19/2003 00:00:00,-1083,11/21/2003 00:00:00,11/26/2003 00:00:00,1035.25,1058.45,23.20,1058.45,1031.2,0.0224100458826370441922241005,-0.003912098526925863318039121,-1,-1,0
11/26/2003 00:00:00,12443,11/28/2003 00:00:00,12/04/2003 00:00:00,1057.89,1069.72,11.83,1074.3,1056.77,0.0155120097552675608995264158,-0.0010587112081596385257446426,1,0,0
12/03/2003 00:00:00,-6983,12/05/2003 00:00:00,12/11/2003 00:00:00,1067.32,1071.21,3.89,1073.63,1053.41,0.0059120038976127122137690664,-0.013032642506464790315931492,1,0,0
12/10/2003 00:00:00,6604,12/12/2003 00:00:00,12/18/2003 00:00:00,1071.21,1089.18,17.97,1089.5,1067.64,0.017074149793224484461496812,-0.0033326798666928053322877867,1,0,0
12/17/2003 00:00:00,-2666,12/19/2003 00:00:00,12/24/2003 00:00:00,1089.18,1094.04,4.86,1096.95,1084.19,0.007133807084228502175948879,-0.0045814282304118694797921372,0,0,0
12/24/2003 00:00:00,13093,12/26/2003 00:00:00,12/31/2003 00:00:00,1094.23,1111.92,17.69,1112.56,1094.23,0.01675150562496001754658527,0,1,0,0
12/31/2003 00:00:00,4539,01/02/2004 00:00:00,01/08/2004 00:00:00,1112.64,1131.92,19.28,1131.92,1105.08,0.0173281564567155593902789761,-0.0067946505608283002588438309,1,0,0
01/07/2004 00:00:00,-15722,01/09/2004 00:00:00,01/15/2004 00:00:00,1131.34,1132.05,0.71,1137.11,1115.19,0.0051001467286580515141336822,-0.0142751073947708027648629059,1,0,0
01/14/2004 00:00:00,-3017,01/16/2004 00:00:00,01/22/2004 00:00:00,1132.23,1143.94,11.71,1150.51,1132.23,0.016145129523153422891108697,0,-1,0,0
01/21/2004 00:00:00,23021,01/23/2004 00:00:00,01/29/2004 00:00:00,1145.11,1134.11,-11.00,1155.38,1122.38,0.0089685707049977731396983696,-0.0198496214337487228301211237,-1,0,0
01/28/2004 00:00:00,-20554,01/30/2004 00:00:00,02/05/2004 00:00:00,1134.17,1128.59,-5.58,1142.58,1124.44,0.0074151141363287690557852879,-0.0085789608259784688362414806,0,0,0
02/04/2004 00:00:00,-1126,02/06/2004 00:00:00,02/12/2004 00:00:00,1129.29,1152.11,22.82,1158.89,1128.39,0.0262111592239371640588334263,-0.0007969609223494407990861515,-1,-1,0
02/11/2004 00:00:00,-3154,02/13/2004 00:00:00,02/19/2004 00:00:00,1152.71,1147.06,-5.65,1158.98,1143.23,0.0054393559524945563064430776,-0.0082240979951592334585455145,0,0,0
02/18/2004 00:00:00,7760,02/20/2004 00:00:00,02/26/2004 00:00:00,1147.06,1144.91,-2.15,1149.81,1134.43,0.0023974334385298066360957579,-0.0110107579376841664777779715,-1,0,0
02/25/2004 00:00:00,-8093,02/27/2004 00:00:00,03/04/2004 00:00:00,1145.8,1154.87,9.07,1157.45,1141.8,0.0101675685110839588060743585,-0.003491010647582475126549136,-1,0,0
03/03/2004 00:00:00,4201,03/05/2004 00:00:00,03/11/2004 00:00:00,1154.87,1106.79,-48.08,1163.23,1105.87,0.007238910007186956107613844,-0.0424290179847082355589806645,-1,-1,-1
03/10/2004 00:00:00,-4917,03/12/2004 00:00:00,03/18/2004 00:00:00,1106.78,1122.31,15.53,1125.76,1102.61,0.0171488462024973346103109922,-0.003767686441749941271074649,-1,0,0
03/17/2004 00:00:00,10688,03/19/2004 00:00:00,03/25/2004 00:00:00,1122.32,1109.28,-13.04,1122.72,1087.06,0.000356404590491125525696771,-0.0314170646517927150901703614,-1,-1,-1
03/24/2004 00:00:00,-9128,03/26/2004 00:00:00,04/01/2004 00:00:00,1108.74,1132.17,23.43,1135.67,1106.13,0.0242888323682738964951205873,-0.0023540234861193787542615942,-1,-1,0
03/31/2004 00:00:00,9215,04/02/2004 00:00:00,04/08/2004 00:00:00,1135.87,1139.33,3.46,1150.54,1134.52,0.0129152103673835914321181121,-0.001188516291477017616452587,1,0,0
04/07/2004 00:00:00,-6642,04/12/2004 00:00:00,04/15/2004 00:00:00,1139.87,1128.84,-11.03,1147.81,1120.75,0.0069657066156666988340775702,-0.0167738426311772395097686578,1,0,0
04/14/2004 00:00:00,9651,04/16/2004 00:00:00,04/22/2004 00:00:00,1129.65,1139.95,10.30,1142.77,1116.03,0.0116142167928119328995706635,-0.0120568317620501925375116186,1,0,0
04/21/2004 00:00:00,-5750,04/23/2004 00:00:00,04/29/2004 00:00:00,1139.93,1113.88,-26.05,1146.84,1108.02,0.0060617757230707148684568351,-0.0279929469353381347977507391,1,1,0
04/28/2004 00:00:00,14943,04/30/2004 00:00:00,05/06/2004 00:00:00,1113.89,1113.96,0.07,1127.74,1106.3,0.0124339028090745046638357468,-0.0068139582903159198843691926,1,0,0
05/05/2004 00:00:00,-14089,05/07/2004 00:00:00,05/13/2004 00:00:00,1113.99,1096.47,-17.52,1117.33,1076.32,0.002998231581971112846614422,-0.0338153843391771918957979874,1,1,1
05/12/2004 00:00:00,5997,05/14/2004 00:00:00,05/20/2004 00:00:00,1096.01,1089.18,-6.83,1105.93,1079.36,0.0090510123082818587421647613,-0.0151914672311384020218793624,-1,0,0
05/19/2004 00:00:00,-7961,05/21/2004 00:00:00,05/27/2004 00:00:00,1090.69,1121.26,30.57,1123.95,1089.78,0.0304944576369087458397894911,-0.0008343342287909488488938195,-1,-1,-1
05/26/2004 00:00:00,14234,05/28/2004 00:00:00,06/03/2004 00:00:00,1121.37,1116.63,-4.74,1128.1,1113.32,0.006001587344052364518401598,-0.0071787188885024568162158788,0,0,0
06/02/2004 00:00:00,-7018,06/04/2004 00:00:00,06/10/2004 00:00:00,1116.65,1136.47,19.82,1142.16,1116.65,0.0228451170912998701473156316,0,-1,-1,0
06/09/2004 00:00:00,8097,06/14/2004 00:00:00,06/17/2004 00:00:00,1135.21,1132.03,-3.18,1137.36,1122.16,0.0018939227103355326327287462,-0.0114956704045947445847023899,-1,0,0
06/16/2004 00:00:00,-10353,06/18/2004 00:00:00,06/24/2004 00:00:00,1132.05,1140.62,8.57,1146.34,1124.37,0.0126231173534737864935294377,-0.0067841526434344772757387041,-1,0,0
06/23/2004 00:00:00,13427,06/25/2004 00:00:00,07/01/2004 00:00:00,1140.73,1128.98,-11.75,1145.97,1123.06,0.0045935497444618796735423808,-0.0154900809130995064563919595,-1,0,0
06/30/2004 00:00:00,4317,07/02/2004 00:00:00,07/08/2004 00:00:00,1128.94,1109.1,-19.84,1129.18,1108.72,0.000212588800113380693393803,-0.0179106064095523234184279058,-1,0,0
07/07/2004 00:00:00,-1415,07/09/2004 00:00:00,07/15/2004 00:00:00,1109.11,1106.69,-2.42,1119.6,1106.6,0.0094580339190882779886575723,-0.0022630757995149263824147289,0,0,0
07/14/2004 00:00:00,-2627,07/16/2004 00:00:00,07/22/2004 00:00:00,1107.93,1096.84,-11.09,1116.27,1084.16,0.0075275513795997942108255937,-0.021454424015957686857472945,1,1,0
07/21/2004 00:00:00,1228,07/23/2004 00:00:00,07/29/2004 00:00:00,1096.84,1100.43,3.59,1103.71,1078.78,0.0062634477225484118011742825,-0.0164654826592757375733926553,-1,0,0
